Queue,RevenuType,Program,Reason,CountryProcessed,time_to_complete
<VL LOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Colombia,11538.0
<VL AOC Broken Pending Notification>,Current Revenue,Enterprise,Order Transaction Request,Ecuador,17143.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,10517.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States,20024.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,12284.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10252.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,9784.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,11254.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,15956.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,5956.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,5933.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,12898.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,7102.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,7219.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States,10958.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,633.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,5917.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,617.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,16935.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Netherlands,6030.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,163.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,7155.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,South Africa,7743.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Finland,7314.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,8776.0
<VL EOC CASA>,Non-revenue,School,Order Transaction Request,United Kingdom,23.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,17130.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,South Africa,13140.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,1912.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,9934.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,11759.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1693.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Belgium,7419.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Switzerland,5737.0
<VL EOC Enterprise Orders and Adjustments>,Future Billing,Enterprise,Order Transaction Request,Ukraine,8528.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,3917.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,3320.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,4207.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,8793.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,8860.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,6377.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1540.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Italy,11411.0
<VL LOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,8938.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,8792.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,4616.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States,16417.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,11560.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,6222.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,6277.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Norway,9763.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,11609.0
<VL AOC SMS&P Processing>,Current Revenue,EBU,Order Transaction Request,United States,2761.0
<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States,11240.0
<VL NAOC Enterprise Agreements>,Current Revenue,Enterprise,Order Transaction Request,United States,2508.0
<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States,14932.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,5718.0
<VL LOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Colombia,8658.0
<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States,6724.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Process Licensing Agreement,United States,17258.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Process Licensing Agreement,United States,17485.0
<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States,6858.0
<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States,6602.0
<VL NAOC Rework>,Non-revenue,Enterprise,Order Transaction Request,United States,4120.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,12603.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Germany,3460.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Netherlands,4505.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,13911.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,13984.0
<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Canada,7255.0
<VL EOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Luxembourg,14007.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,539.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Kuwait,4317.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,6495.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,190.0
<VL APOC Enterprise>,Credit / Rebill,Enterprise,Order Transaction Request,Singapore,8597.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,3139.0
<VL APOC Enterprise>,Revenue Unknown,Enterprise,Order Transaction Request,Singapore,12720.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland,573.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,4352.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Denmark,5762.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Netherlands,2005.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Qatar,1948.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Brazil,4622.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,3278.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,4698.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Turkey,1632.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,14455.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Switzerland,4091.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,9996.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,7520.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,4562.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,1038.0
<VL EOC Ops Out>,Non-revenue,Enterprise,OLS Forms,Ireland,10224.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,1613.0
<VL EOC Ops Out>,Non-revenue,Enterprise,OLS Forms,Ireland,10210.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,2025.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,334.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,604.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,4223.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1673.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,7220.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,1026.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,1048.0
<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States,9935.0
<VL AOC Broken Pending Notification>,Non-revenue,Enterprise,Order Transaction Request,United States,11788.0
<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States,3013.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1270.0
<VL NAOC Adjustments>,Credit / Rebill,Enterprise,Order Transaction Request,United States,10376.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,5484.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1311.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,3114.0
